Picture ID;Category;Description;WordNet_1;WordNet_2;WordNet_3;WordNet_4;WordNet_5;WordNet_6;WordNet_7;;;;;;;;;;;;;;
Landscapess_176_h;Landscapes;salt lake;09328904;15169248;;;;;;;;;;;;;;;;;;;
Landscapess_177_h;Landscapes;fire;07302836;08438533;;;;;;;;;;;;;;;;;;;
Landscapess_178_h;Landscapes;beach;12582231;09217230;15019030;09376198;02858304;03001627;;;;;;;;;;;;;;;
Landscapess_179_h;Landscapes;water lilies;11715810;08436759;14845743;;;;;;;;;;;;;;;;;;
Landscapess_180_h;Landscapes;sea;09416076;09376198;09426788;08436759;00375969;;;;;;;;;;;;;;;;
Landscapess_181_h;Landscapes;water;14845743;14842992;;;;;;;;;;;;;;;;;;;
Landscapess_182_v;Landscapes;plants;00017222;00385756;09416076;09359803;;;;;;;;;;;;;;;;;
Landscapess_183_h;Landscapes;sea;09428628;08438533;09426788;09225146;;;;;;;;;;;;;;;;;
Landscapess_184_h;Landscapes;plants;13163250;13152742;00381097;;;;;;;;;;;;;;;;;;
Landscapess_185_v;Landscapes;flowers;08438533;11669921;08436759;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
