Picture ID;Category;Description;WordNet_1;WordNet_2;WordNet_3;WordNet_4;WordNet_5;WordNet_6;WordNet_7;;;;;;;;;;;;;
People_196_h;People;swimming pool;11485367;03982060;01962865;;;;;;;;;;;;;;;;;
People_197_h;People;pimple;14334306;05302499;;;;;;;;;;;;;;;;;;
People_198_h;People;mutilated leg;01020282;00256507;05560787;;;;;;;;;;;;;;;;;
People_199_v;People;surgery;00671351;10020890;03574816;;;;;;;;;;;;;;;;;
People_200_h;People;dead bodies;07945657;07942152;02389559;;;;;;;;;;;;;;;;;
People_201_v;People;accident;05217859;07301336;04468005;09387222;;;;;;;;;;;;;;;;
People_202_h;People;surgery;00671351;10020890;03574816;;;;;;;;;;;;;;;;;
People_203_v;People;surgery;00671351;10020890;03574816;;;;;;;;;;;;;;;;;
People_204_v;People;skin inflammation;05238282;14289590;;;;;;;;;;;;;;;;;;
People_205_v;People;drowned man;05218119;09965985;;;;;;;;;;;;;;;;;;
People_206_h;People;burns;14464512;05564590;14289590;;;;;;;;;;;;;;;;;
People_207_v;People;burns;02785648;14285662;14289590;;;;;;;;;;;;;;;;;
People_208_h;People;dead body;05564590;05217859;01020282;;;;;;;;;;;;;;;;;
People_209_v;People;surgery;00671351;03574816;02800213;;;;;;;;;;;;;;;;;
People_210_h;People;plaster;00289082;05560787;14285662;02979836;;;;;;;;;;;;;;;;
People_211_v;People;mutilated hand;05564590;01020282;14285662;;;;;;;;;;;;;;;;;
People_212_h;People;skeletons;13763626;00044900;05540121;;;;;;;;;;;;;;;;;
People_213_v;People;skin disease;05238282;00744131;;;;;;;;;;;;;;;;;;
People_214_h;People;skeletons;13763626;00044900;05540121;;;;;;;;;;;;;;;;;
People_215_h;People;disease;14285662;10787470;;;;;;;;;;;;;;;;;;
People_216_h;People;surgery;05560787;00671351;;;;;;;;;;;;;;;;;;
People_217_h;People;surgery;05560787;00671351;;;;;;;;;;;;;;;;;;
People_218_v;People;mutilated hand;14289590;05564590;01020282;;;;;;;;;;;;;;;;;
People_219_h;People;dirty hand;00419289;05564590;;;;;;;;;;;;;;;;;;
People_220_h;People;disease;05238282;14070360;;;;;;;;;;;;;;;;;;
People_221_h;People;surgery;05311054;05399847;14285662;;;;;;;;;;;;;;;;;
People_222_h;People;hooked skin;05565192;05399847;14285662;;;;;;;;;;;;;;;;;
People_223_h;People;surgery;00671351;02800213;03574816;;;;;;;;;;;;;;;;;
People_224_h;People;surgery;00671351;10020890;03574816;03563710;;;;;;;;;;;;;;;;
People_225_h;People;dead body;08209687;07945657;05216365;;;;;;;;;;;;;;;;;
People_226_h;People;accident;07301336;07945657;05216365;;;;;;;;;;;;;;;;;
People_227_h;People;burns;14289590;14285662;09917593;;;;;;;;;;;;;;;;;
People_228_h;People;surgery;05297523;03574816;02800213;;;;;;;;;;;;;;;;;
People_229_h;People;surgery;05297523;03574816;02800213;;;;;;;;;;;;;;;;;
