Picture ID;Category;Description;WordNet_1;WordNet_2;WordNet_3;WordNet_4;WordNet_5;WordNet_6;WordNet_7;;;;;;;;;;;;;
Faces_225_v;Faces;man smiling;%Man+;%Smiling+;%Clothing+;;;;;;;;;;;;;;;;;
Faces_226_h;Faces;man smiling;%Man=;%Smiling+;%FacialHair+;;;;;;;;;;;;;;;;;
Faces_227_v;Faces;woman smiling;%Woman=;%Smiling+;%Red=;%Coat=;;;;;;;;;;;;;;;;
Faces_228_h;Faces;elderly woman;%SubjectiveAssessmentAttribute+;%Woman=;%Hat+;%Drinking=;%Coffee=;;;;;;;;;;;;;;;
Faces_229_v;Faces;man;%Man=;%Face+;%Scales=;;;;;;;;;;;;;;;;;
Faces_230_h;Faces;elderly man;%SubjectiveAssessmentAttribute+;%Man=;%Hat+;%FacialHair+;%GrayColor=;;;;;;;;;;;;;;;
Faces_231_v;Faces;woman smiling;%Woman=;%Smiling+;%Clothing+;%Coat=;%Face+;;;;;;;;;;;;;;;
Faces_232_h;Faces;women smiling;%Woman=;%Smiling+;%ArtWork+;%EyeGlass+;%Face+;;;;;;;;;;;;;;;
Faces_233_v;Faces;woman;%Woman=;%ProtectiveEyewear+;%Clothing+;%Roadway=;%GroupOfPeople=;%Face+;;;;;;;;;;;;;;
Faces_234_h;Faces;dancing people;%GroupOfPeople=;%Dancing=;%MakingVocalMusic=;%Park+;%Green=;%Grass=;;;;;;;;;;;;;;
Faces_235_v;Faces;woman smiling;%Woman=;%Smiling+;%Park+;%Face+;;;;;;;;;;;;;;;;
Faces_236_h;Faces;woman smiling;%Woman=;%Smiling+;%Dress+;%Yellow=;%Keeping=;%Food=;;;;;;;;;;;;;;
Faces_237_v;Faces;woman smiling;%Woman=;%Smiling+;%Jewelry+;%Face+;%Face+;;;;;;;;;;;;;;;
Faces_238_h;Faces;man smiling;%Man=;%Smiling+;%Helmet=;%Face+;;;;;;;;;;;;;;;;
Faces_239_v;Faces;woman smiling;%Woman=;%Smiling+;;;;;;;;;;;;;;;;;;
Faces_240_h;Faces;woman smiling;%Woman=;%Smiling+;%Sport+;;;;;;;;;;;;;;;;;
Faces_241_v;Faces;man;%Man=;%Smiling+;;;;;;;;;;;;;;;;;;
Faces_242_h;Faces;man and woman smiling;%Man=;%Woman=;%Smiling+;;;;;;;;;;;;;;;;;
Faces_243_v;Faces;elderly woman;%Woman=;%SubjectiveAssessmentAttribute+;%EyeGlass+;;;;;;;;;;;;;;;;;
Faces_244_h;Faces;elderly woman;%Woman=;%Smiling+;%SubjectiveAssessmentAttribute+;%Hat+;;;;;;;;;;;;;;;;
Faces_245_v;Faces;man singing;%Man=;%MakingVocalMusic=;;;;;;;;;;;;;;;;;;
Faces_246_v;Faces;man smiling;%Man+;%Smiling+;;;;;;;;;;;;;;;;;;
Faces_247_h;Faces;woman smiling;%Woman=;%Smiling+;%SubjectiveAssessmentAttribute+;;;;;;;;;;;;;;;;;
Faces_248_v;Faces;girl;%Woman+;;;;;;;;;;;;;;;;;;;
Faces_249_v;Faces;Buddhist monk;%Man=;%Monk=;;;;;;;;;;;;;;;;;;
Faces_250_h;Faces;woman;%Woman=;;;;;;;;;;;;;;;;;;;
Faces_251_v;Faces;man;%Man=;%Smiling+;;;;;;;;;;;;;;;;;;
Faces_252_h;Faces;woman smiling;%Woman=;%Smiling+;;;;;;;;;;;;;;;;;;
Faces_253_v;Faces;woman smiling;%Woman=;%Smiling+;%Sea=;;;;;;;;;;;;;;;;;
Faces_254_h;Faces;woman;%Woman=;%Smiling+;;;;;;;;;;;;;;;;;;
Faces_255_v;Faces;elderly man;%SubjectiveAssessmentAttribute+;%Man=;;;;;;;;;;;;;;;;;;
Faces_256_h;Faces;elderly woman;%SubjectiveAssessmentAttribute+;%Woman=;;;;;;;;;;;;;;;;;;
Faces_257_v;Faces;woman smiling;%Woman=;%Smiling+;;;;;;;;;;;;;;;;;;
Faces_258_h;Faces;men smiling;%Man=;%Smiling+;%SwimmingPool=;;;;;;;;;;;;;;;;;
Faces_259_v;Faces;mother and child;%BiologicalAttribute+;%HumanChild=;;;;;;;;;;;;;;;;;;
Faces_260_h;Faces;elderly man;%SubjectiveAssessmentAttribute+;%Man=;%Position+;;;;;;;;;;;;;;;;;
Faces_261_v;Faces;woman smiling;%Woman=;%Smiling+;;;;;;;;;;;;;;;;;;
Faces_262_h;Faces;elderly woman;%SubjectiveAssessmentAttribute+;%Woman=;;;;;;;;;;;;;;;;;;
