Picture ID;Category;Description;WordNet_1;WordNet_2;WordNet_3;WordNet_4;WordNet_5;WordNet_6;WordNet_7;;;;;;;;;;;;;;
Objects_215_v;Objects;toilet;04446521;00371163;;;;;;;;;;;;;;;;;;;
Objects_216_h;Objects;pans;03880531;02883344;;;;;;;;;;;;;;;;;;;
Objects_217_h;Objects;candle;02948072;;;;;;;;;;;;;;;;;;;;
Objects_218_h;Objects;garbage;14857497;;;;;;;;;;;;;;;;;;;;
Objects_219_h;Objects;glass;03438257;03002948;;;;;;;;;;;;;;;;;;;
Objects_220_h;Objects;metal objects;03002948;01527420;04190052;;;;;;;;;;;;;;;;;;
Objects_221_h;Objects;suitcases;02773838;;;;;;;;;;;;;;;;;;;;
Objects_222_h;Objects;pipes;03944672;04519153;01527420;;;;;;;;;;;;;;;;;;
Objects_223_h;Objects;light bulb;03665924;;;;;;;;;;;;;;;;;;;;
Objects_224_h;Objects;hook;03532672;01527420;02999410;;;;;;;;;;;;;;;;;;
Objects_225_h;Objects;chain;02999410;;;;;;;;;;;;;;;;;;;;
Objects_226_h;Objects;lighter;03666591;15098161;;;;;;;;;;;;;;;;;;;
Objects_227_v;Objects;shelter;04191595;00370869;;;;;;;;;;;;;;;;;;;
Objects_228_h;Objects;pipes;03944672;01527420;02053094;;;;;;;;;;;;;;;;;;
Objects_229_h;Objects;drawer;03233905;00419289;00370869;;;;;;;;;;;;;;;;;;
Objects_230_h;Objects;boots;02872752;03892178;;;;;;;;;;;;;;;;;;;
Objects_231_h;Objects;boots;02872752;14844693;15101854;;;;;;;;;;;;;;;;;;
Objects_232_h;Objects;handbag;02774152;09225146;;;;;;;;;;;;;;;;;;;
Objects_233_h;Objects;bottle;02876657;09225146;;;;;;;;;;;;;;;;;;;
Objects_234_h;Objects;door handle;03222959;02053094;00679147;;;;;;;;;;;;;;;;;;
Objects_235_h;Objects;doorbell;03222516;00679147;;;;;;;;;;;;;;;;;;;
Objects_236_h;Objects;garbage;14857497;04334599;;;;;;;;;;;;;;;;;;;
Objects_237_h;Objects;mug;03797390;04435180;;;;;;;;;;;;;;;;;;;
Objects_238_h;Objects;dishes;03206908;01639446;;;;;;;;;;;;;;;;;;;
Objects_239_v;Objects;lock;03682487;00381097;;;;;;;;;;;;;;;;;;;
Objects_240_h;Objects;bike rack;04038727;13104059;;;;;;;;;;;;;;;;;;;
Objects_241_h;Objects;chair;03001627;00385756;01692786;;;;;;;;;;;;;;;;;;
Objects_242_h;Objects;dishes;03206908;04223580;;;;;;;;;;;;;;;;;;;
Objects_243_h;Objects;bottle;02876657;13104059;08438533;;;;;;;;;;;;;;;;;;
Objects_244_h;Objects;car pedals;03903424;02958343;;;;;;;;;;;;;;;;;;;
Objects_245_h;Objects;keyboard;03614007;03179701;;;;;;;;;;;;;;;;;;;
Objects_246_h;Objects;mouse;03793489;03614007;03179701;00393105;;;;;;;;;;;;;;;;;
Objects_247_h;Objects;mouse;03793489;00392812;04435180;;;;;;;;;;;;;;;;;;
Objects_248_h;Objects;switch;04372370;;;;;;;;;;;;;;;;;;;;
Objects_249_v;Objects;bottles;02876657;02883344;07963208;;;;;;;;;;;;;;;;;;
Objects_250_h;Objects;sculpture;00937656;02958343;00381097;;;;;;;;;;;;;;;;;;
Objects_251_v;Objects;buttons;02928608;02883344;;;;;;;;;;;;;;;;;;;
Objects_252_h;Objects;objects;00002684;04546855;;;;;;;;;;;;;;;;;;;
Objects_253_v;Objects;shoes;04199027;12102133;;;;;;;;;;;;;;;;;;;
Objects_254_h;Objects;handwork;03485655;03959485;;;;;;;;;;;;;;;;;;;
Objects_255_v;Objects;shoes;04199027;;;;;;;;;;;;;;;;;;;;
Objects_256_h;Objects;sculptures;00937656;02324045;04587648;;;;;;;;;;;;;;;;;;
Objects_257_h;Objects;sculptures;00937656;;;;;;;;;;;;;;;;;;;;
Objects_258_h;Objects;shoes;04199027;15101854;02774152;;;;;;;;;;;;;;;;;;
Objects_259_h;Objects;shoes;04199027;14516082;;;;;;;;;;;;;;;;;;;
Objects_260_h;Objects;toy;03964744;03614007;;;;;;;;;;;;;;;;;;;
Objects_261_h;Objects;shoes;04199027;14516082;;;;;;;;;;;;;;;;;;;
Objects_262_h;Objects;fountain;03388043;02913152;;;;;;;;;;;;;;;;;;;
Objects_263_h;Objects;handwork;03485655;;;;;;;;;;;;;;;;;;;;
Objects_264_v;Objects;carousel;02966193;;;;;;;;;;;;;;;;;;;;
Objects_265_h;Objects;handwork;03485655;;;;;;;;;;;;;;;;;;;;
Objects_266_h;Objects;sculpture;00937656;02403325;;;;;;;;;;;;;;;;;;;
Objects_267_v;Objects;shoes;04199027;04334599;;;;;;;;;;;;;;;;;;;
Objects_268_h;Objects;leaves;13152742;02881193;;;;;;;;;;;;;;;;;;;
Objects_269_h;Objects;sculpture;00937656;;;;;;;;;;;;;;;;;;;;
Objects_270_h;Objects;toys;03964744;;;;;;;;;;;;;;;;;;;;
Objects_271_h;Objects;toys;03964744;;;;;;;;;;;;;;;;;;;;
Objects_272_h;Objects;sculptures;00937656;02576489;12102133;;;;;;;;;;;;;;;;;;
Objects_273_h;Objects;sculptures;00937656;04251983;15043763;;;;;;;;;;;;;;;;;;
Objects_274_h;Objects;car;02958343;00679147;;;;;;;;;;;;;;;;;;;
Objects_275_v;Objects;crashed car;02958343;01561819;;;;;;;;;;;;;;;;;;;
Objects_276_h;Objects;car;02958343;15043763;00370869;;;;;;;;;;;;;;;;;;
Objects_277_h;Objects;rusted car;02958343;02053094;;;;;;;;;;;;;;;;;;;
Objects_278_h;Objects;bicycles;02834778;;;;;;;;;;;;;;;;;;;;
Objects_279_h;Objects;bicycle;02834778;04334599;;;;;;;;;;;;;;;;;;;
Objects_280_v;Objects;icicle;14915928;04440749;;;;;;;;;;;;;;;;;;;
Objects_281_h;Objects;car;02958343;04520170;00679147;;;;;;;;;;;;;;;;;;
Objects_282_h;Objects;rust;14889479;02958343;04440749;;;;;;;;;;;;;;;;;;
Objects_283_h;Objects;crashed car;02958343;01561819;04335435;;;;;;;;;;;;;;;;;;
Objects_284_h;Objects;car;02958343;15043763;;;;;;;;;;;;;;;;;;;
Objects_285_h;Objects;crashed motorcycle;03790512;01561819;09448361;;;;;;;;;;;;;;;;;;
Objects_286_h;Objects;rusted car;02958343;02052983;14844693;;;;;;;;;;;;;;;;;;
Objects_287_h;Objects;bicycle frame;02834778;04226537;;;;;;;;;;;;;;;;;;;
Objects_288_h;Objects;scooter;03791053;00393105;01694223;;;;;;;;;;;;;;;;;;
Objects_289_h;Objects;bicycle;02834778;03327234;04334599;;;;;;;;;;;;;;;;;;
