Picture ID;Category;Description;WordNet_1;WordNet_2;WordNet_3;WordNet_4;WordNet_5;WordNet_6;WordNet_7
Faces_179_v;Faces;woman;"{10787470} <noun.person> woman#1, adult female#1 -- (an adult female person (as opposed to a man); ""the woman kept house while the man hunted"")";{04272054} <noun.artifact> spectacles#1, specs#1, eyeglasses#1, glasses#1 -- (optical instrument consisting of a frame that holds a pair of lenses for correcting defective vision);;;;;
Faces_180_h;Faces;woman;"{10787470} <noun.person> woman#1, adult female#1 -- (an adult female person (as opposed to a man); ""the woman kept house while the man hunted"")";"{04356056} <noun.artifact> sunglasses#1, dark glasses#1, shades#1 -- (spectacles that are darkened or polarized to protect the eyes from the glare of the sun; ""he was wearing a pair of mirrored shades"")";;;;;
Faces_181_v;Faces;elderly woman;"{10787470} <noun.person> woman#1, adult female#1 -- (an adult female person (as opposed to a man); ""the woman kept house while the man hunted"")";"{07943870} <noun.group> aged#1, elderly#1 -- (people who are old collectively; ""special arrangements were available for the aged"")";;;;;
Faces_182_h;Faces;elderly man;"{10287213} <noun.person> man#1, adult male#1 -- (an adult person who is male (as opposed to a woman); ""there were two women and six men on the bus"")";"{07943870} <noun.group> aged#1, elderly#1 -- (people who are old collectively; ""special arrangements were available for the aged"")";;;;;
Faces_183_v;Faces;man;"{10287213} <noun.person> man#1, adult male#1 -- (an adult person who is male (as opposed to a woman); ""there were two women and six men on the bus"")";"{05262185} <noun.body> mustache#1, moustache#1 -- (an unshaved growth of hair on the upper lip; ""he looked younger after he shaved off his mustache""";;;;;
Faces_184_h;Faces;woman;"{10787470} <noun.person> woman#1, adult female#1 -- (an adult female person (as opposed to a man); ""the woman kept house while the man hunted"")";"{04356056} <noun.artifact> sunglasses#1, dark glasses#1, shades#1 -- (spectacles that are darkened or polarized to protect the eyes from the glare of the sun; ""he was wearing a pair of mirrored shades"")";{04256520} <noun.artifact> sofa#1, couch#1, lounge1#1 -- (an upholstered seat for more than one person);;;;
Faces_185_v;Faces;man;"{10287213} <noun.person> man#1, adult male#1 -- (an adult person who is male (as opposed to a woman); ""there were two women and six men on the bus"")";"{04350905} <noun.artifact> suit#1, suit of clothes#1 -- (a set of garments (usually including a jacket and trousers or skirt) for outerwear all of the same fabric and color; ""they buried him in his best suit"")";;;;;
Faces_186_h;Faces;woman;"{10787470} <noun.person> woman#1, adult female#1 -- (an adult female person (as opposed to a man); ""the woman kept house while the man hunted"")";{04272054} <noun.artifact> spectacles#1, specs#1, eyeglasses#1, glasses#1 -- (optical instrument consisting of a frame that holds a pair of lenses for correcting defective vision);;;;;
Faces_187_v;Faces;man;"{10287213} <noun.person> man#1, adult male#1 -- (an adult person who is male (as opposed to a woman); ""there were two women and six men on the bus"")";"{04350905} <noun.artifact> suit#1, suit of clothes#1 -- (a set of garments (usually including a jacket and trousers or skirt) for outerwear all of the same fabric and color; ""they buried him in his best suit"")";;;;;
Faces_188_h;Faces;woman;"{10787470} <noun.person> woman#1, adult female#1 -- (an adult female person (as opposed to a man); ""the woman kept house while the man hunted"")";"{03520493} <noun.artifact> hijab#1 -- (a headscarf worn by Muslim women; conceals the hair and neck and usually has a face veil that covers the face)";;;;;
